User Name,Join time,Leave time,Duration(Minutes),Attentiveness Score,
maria de guadalupe santiago,2/10/2022 10:41,2/10/2022 12:15,94,,
natalia alianovna romanova,2/10/2022 10:44,2/10/2022 12:15,91,,
patsy walker,2/10/2022 10:50,2/10/2022 12:43,113,,
henry p. mccoy,2/10/2022 10:52,2/10/2022 12:15,84,,
monica rambeau,2/10/2022 10:53,2/10/2022 12:14,82,,
heracles,2/10/2022 10:54,2/10/2022 12:15,82,,
miguel santos,2/10/2022 10:54,2/10/2022 12:15,81,,
eros,2/10/2022 10:54,2/10/2022 12:14,80,,
jennifer walters,2/10/2022 10:55,2/10/2022 12:25,90,,
james r. rhodes,2/10/2022 10:56,2/10/2022 12:14,79,,
ashley crawford,2/10/2022 10:56,2/10/2022 12:15,80,,
yondu udonta,2/10/2022 10:56,2/10/2022 12:15,79,,
steven rogers,2/10/2022 10:56,2/10/2022 12:14,78,,
stakar,2/10/2022 10:57,2/10/2022 12:14,78,,
"anthony edward ""tony"" stark",2/10/2022 10:57,2/10/2022 11:49,52,,
robert l. frank sr.,2/10/2022 10:57,2/10/2022 12:15,78,,
vance astrovik,2/10/2022 10:57,2/10/2022 12:14,77,,
x-51,2/10/2022 10:58,2/10/2022 12:15,78,,
greer grant nelson,2/10/2022 10:58,2/10/2022 12:14,77,,
scott edward harris lang,2/10/2022 10:58,2/10/2022 12:15,77,,
kelsey leigh shorr,2/10/2022 10:58,2/10/2022 12:14,77,,
walter newell,2/10/2022 10:58,2/10/2022 12:15,78,,
samuel thomas wilson,2/10/2022 10:58,2/10/2022 12:14,77,,
marrina smallwood,2/10/2022 10:58,2/10/2022 12:15,77,,
susan richards,2/10/2022 10:58,2/10/2022 12:14,76,,
jocasta,2/10/2022 10:58,2/10/2022 12:14,76,,
namor mckenzie,2/10/2022 10:58,2/10/2022 12:16,78,,
bonita juarez,2/10/2022 10:59,2/10/2022 12:15,76,,
martinex t'naga,2/10/2022 10:59,2/10/2022 12:15,77,,
carol susan jane danvers,2/10/2022 10:59,2/10/2022 12:14,76,,
jim hammond,2/10/2022 10:59,2/10/2022 11:46,48,,
wade wilson,2/10/2022 10:59,2/10/2022 12:14,76,,
thor odinson,2/10/2022 10:59,2/10/2022 12:15,76,,
charlie-27,2/10/2022 10:59,2/10/2022 12:15,76,,
benjamin jacob grimm,2/10/2022 10:59,2/10/2022 12:14,76,,
angelica jones,2/10/2022 11:00,2/10/2022 12:15,76,,
crystal amaquelin maximoff,2/10/2022 11:00,2/10/2022 12:15,76,,
heather douglas,2/10/2022 11:00,2/10/2022 12:14,75,,
pietro maximoff,2/10/2022 11:00,2/10/2022 12:10,70,,
julia carpenter,2/10/2022 11:00,2/10/2022 12:27,88,,
craig hollis,2/10/2022 11:00,2/10/2022 12:14,75,,
circe,2/10/2022 11:00,2/10/2022 12:15,76,,
ravonna lexus renslayer,2/10/2022 11:00,2/10/2022 12:14,75,,
robert bruce banner,2/10/2022 11:00,2/10/2022 12:15,75,,
vance astrovik,2/10/2022 11:00,2/10/2022 12:14,74,,
t'challa,2/10/2022 11:00,2/10/2022 11:52,52,,
anthony edward stark,2/10/2022 11:00,2/10/2022 12:15,75,,
marc spector,2/10/2022 11:00,2/10/2022 12:14,74,,
dane whitman,2/10/2022 11:01,2/10/2022 12:15,75,,
rita demara,2/10/2022 11:01,2/10/2022 12:14,74,,
dennis dunphy,2/10/2022 11:01,2/10/2022 12:14,74,,
barbara barton,2/10/2022 11:01,2/10/2022 12:14,74,,
nicholette gold,2/10/2022 11:01,2/10/2022 11:44,43,,
eric kevin masterson,2/10/2022 11:01,2/10/2022 12:15,74,,
julia carpenter,2/10/2022 11:01,2/10/2022 12:14,74,,
greg willis,2/10/2022 11:01,2/10/2022 12:15,74,,
val ventura,2/10/2022 11:01,2/10/2022 12:15,74,,
phillip javert,2/10/2022 11:01,2/10/2022 12:14,73,,
brandt,2/10/2022 11:02,2/10/2022 12:14,73,,
veranke,2/10/2022 11:02,2/10/2022 12:14,73,,
moira brandon,2/10/2022 11:02,2/10/2022 11:07,6,,
carl lucas,2/10/2022 11:02,2/10/2022 12:15,73,,
jacques duquesne,2/10/2022 11:02,2/10/2022 12:15,73,,
janet van dyne,2/10/2022 11:02,2/10/2022 12:15,73,,
richard milhouse jones,2/10/2022 11:02,2/10/2022 12:15,73,,
gene lorrene,2/10/2022 11:03,2/10/2022 12:15,72,,
christopher powell,2/10/2022 11:04,2/10/2022 12:15,71,,
"henry jonathan ""hank"" pym",2/10/2022 11:08,2/10/2022 12:15,68,,
moira brandon,2/10/2022 11:08,2/10/2022 12:14,67,,
clinton francis barton,2/10/2022 11:10,2/10/2022 12:15,65,,
john f. walker,2/10/2022 11:10,2/10/2022 12:15,66,,
demarr davis,2/10/2022 11:11,2/10/2022 12:14,64,,
reed richards,2/10/2022 11:13,2/10/2022 12:15,62,,
"anthony edward ""tony"" stark",2/10/2022 11:49,2/10/2022 12:14,26,,
t'challa,2/10/2022 11:52,2/10/2022 11:52,1,,
kelsey leigh shorr,2/10/2022 12:14,2/10/2022 12:26,13,,
ashley crawford,2/10/2022 12:16,2/10/2022 12:22,6,,
matthew liebowitz,2/10/2022 11:17,2/10/2022 11:21,5,,
matthew liebowitz,2/10/2022 11:21,2/10/2022 12:14,54,,
jim hammond,2/10/2022 11:46,2/10/2022 12:15,29,,
t'challa,2/10/2022 11:52,2/10/2022 12:04,12,,
t'challa,2/10/2022 12:04,2/10/2022 12:15,11,,
