User Name,Join time,Leave time,Duration(Minutes),Attentiveness Score
vance astrovik,2/22/2022 12:07,2/22/2022 12:10,3,
julia carpenter,2/22/2022 12:15,2/22/2022 12:17,2,
ashley crawford,2/22/2022 10:08,2/22/2022 11:54,106,
natalia alianovna romanova,2/22/2022 10:45,2/22/2022 12:16,92,
robert l. frank sr.,2/22/2022 10:45,2/22/2022 12:16,91,
val ventura,2/22/2022 10:47,2/22/2022 12:16,89,
x-51,2/22/2022 10:48,2/22/2022 12:16,89,
benjamin jacob grimm,2/22/2022 10:48,2/22/2022 12:16,88,
patsy walker,2/22/2022 10:50,2/22/2022 12:38,109,
stakar,2/22/2022 10:50,2/22/2022 12:16,86,
maria de guadalupe santiago,2/22/2022 10:51,2/22/2022 12:16,85,
james r. rhodes,2/22/2022 10:52,2/22/2022 12:16,84,
steven rogers,2/22/2022 10:53,2/22/2022 12:16,84,
charlie-27,2/22/2022 10:54,2/22/2022 12:17,84,
namor mckenzie,2/22/2022 10:54,2/22/2022 12:16,83,
eros,2/22/2022 10:54,2/22/2022 12:16,82,
henry p. mccoy,2/22/2022 10:54,2/22/2022 12:16,82,
matthew liebowitz,2/22/2022 10:54,2/22/2022 11:10,16,
julia carpenter,2/22/2022 10:55,2/22/2022 12:00,66,
angelica jones,2/22/2022 10:55,2/22/2022 12:16,82,
pietro maximoff,2/22/2022 10:55,2/22/2022 12:10,75,
heracles,2/22/2022 10:55,2/22/2022 12:17,83,
"anthony edward ""tony"" stark",2/22/2022 10:55,2/22/2022 12:17,82,
miguel santos,2/22/2022 10:55,2/22/2022 12:12,77,
monica rambeau,2/22/2022 10:56,2/22/2022 12:16,81,
reed richards,2/22/2022 10:56,2/22/2022 12:15,80,
carl lucas,2/22/2022 10:56,2/22/2022 12:02,67,
dane whitman,2/22/2022 10:56,2/22/2022 12:16,81,
janet van dyne,2/22/2022 10:56,2/22/2022 12:16,80,
carol susan jane danvers,2/22/2022 10:56,2/22/2022 12:16,80,
greer grant nelson,2/22/2022 10:56,2/22/2022 12:16,80,
dennis dunphy,2/22/2022 10:56,2/22/2022 12:13,77,
walter newell,2/22/2022 10:56,2/22/2022 12:16,80,
jennifer walters,2/22/2022 10:57,2/22/2022 12:38,102,
anthony edward stark,2/22/2022 10:57,2/22/2022 11:09,13,
scott edward harris lang,2/22/2022 10:57,2/22/2022 12:16,80,
marrina smallwood,2/22/2022 10:57,2/22/2022 12:16,80,
vance astrovik,2/22/2022 10:57,2/22/2022 12:12,75,
moira brandon,2/22/2022 10:57,2/22/2022 12:16,79,
ravonna lexus renslayer,2/22/2022 10:57,2/22/2022 12:16,79,
delroy garrett jr.,2/22/2022 10:57,2/22/2022 12:16,79,
kelsey leigh shorr,2/22/2022 10:57,2/22/2022 12:38,101,
yondu udonta,2/22/2022 10:58,2/22/2022 12:16,79,
heather douglas,2/22/2022 10:58,2/22/2022 11:20,23,
clinton francis barton,2/22/2022 10:58,2/22/2022 12:16,79,
jacques duquesne,2/22/2022 10:58,2/22/2022 12:16,78,
wade wilson,2/22/2022 10:58,2/22/2022 12:02,64,
thor odinson,2/22/2022 10:58,2/22/2022 12:16,78,
phillip javert,2/22/2022 10:58,2/22/2022 12:17,79,
craig hollis,2/22/2022 10:59,2/22/2022 12:15,77,
john f. walker,2/22/2022 10:59,2/22/2022 12:16,78,
t'challa,2/22/2022 10:59,2/22/2022 12:16,78,
jim hammond,2/22/2022 10:59,2/22/2022 12:16,78,
peter benjamin parker,2/22/2022 10:59,2/22/2022 12:16,78,
vance astrovik,2/22/2022 10:59,2/22/2022 12:02,64,
samuel thomas wilson,2/22/2022 10:59,2/22/2022 12:16,78,
rita demara,2/22/2022 10:59,2/22/2022 12:16,77,
jocasta,2/22/2022 10:59,2/22/2022 12:16,77,
robert bruce banner,2/22/2022 10:59,2/22/2022 12:16,77,
martinex t'naga,2/22/2022 11:00,2/22/2022 12:16,77,
marc spector,2/22/2022 11:00,2/22/2022 12:16,77,
crystal amaquelin maximoff,2/22/2022 11:00,2/22/2022 12:16,77,
veranke,2/22/2022 11:00,2/22/2022 12:16,76,
demarr davis,2/22/2022 11:00,2/22/2022 12:16,77,
eric kevin masterson,2/22/2022 11:00,2/22/2022 12:02,62,
richard milhouse jones,2/22/2022 11:00,2/22/2022 12:16,77,
barbara barton,2/22/2022 11:00,2/22/2022 12:16,77,
circe,2/22/2022 11:00,2/22/2022 12:16,76,
"henry jonathan ""hank"" pym",2/22/2022 11:01,2/22/2022 12:16,76,
wendell elvis vaughn,2/22/2022 11:01,2/22/2022 12:06,66,
greg willis,2/22/2022 11:04,2/22/2022 12:16,73,
christopher powell,2/22/2022 11:04,2/22/2022 12:16,73,
anthony edward stark,2/22/2022 11:09,2/22/2022 12:17,68,
brandt,2/22/2022 11:13,2/22/2022 11:29,16,
eric kevin masterson,2/22/2022 12:01,2/22/2022 12:14,14,
carl lucas,2/22/2022 12:02,2/22/2022 12:14,13,
julia carpenter,2/22/2022 12:05,2/22/2022 12:08,3,
julia carpenter,2/22/2022 12:08,2/22/2022 12:09,2,
julia carpenter,2/22/2022 12:09,2/22/2022 12:15,6,
vance astrovik,2/22/2022 12:10,2/22/2022 12:12,3,
wanda maximoff,2/22/2022 12:15,2/22/2022 12:38,23,
matthew liebowitz,2/22/2022 11:10,2/22/2022 12:16,66,
julia carpenter,2/22/2022 12:00,2/22/2022 12:05,5,
vance astrovik,2/22/2022 12:02,2/22/2022 12:04,2,
vance astrovik,2/22/2022 12:04,2/22/2022 12:07,4,
