User Name,Join time,Leave time,Duration(Minutes),Attentiveness Score,,,
natalia alianovna romanova,2/24/2022 10:49,2/24/2022 12:15,86,,,,
heracles,2/24/2022 10:50,2/24/2022 12:15,86,,,,
henry p. mccoy,2/24/2022 10:50,2/24/2022 11:57,67,,,,
ashley crawford,2/24/2022 10:52,2/24/2022 12:15,83,,,,
patsy walker,2/24/2022 10:55,2/24/2022 12:39,105,,,,
benjamin jacob grimm,2/24/2022 10:56,2/24/2022 12:14,79,,,,
james r. rhodes,2/24/2022 10:56,2/24/2022 12:14,79,,,,
bonita juarez,2/24/2022 10:57,2/24/2022 12:15,79,,,,
john f. walker,2/24/2022 10:57,2/24/2022 12:15,78,,,,
matthew liebowitz,2/24/2022 10:57,2/24/2022 12:15,78,,,,
angelica jones,2/24/2022 10:57,2/24/2022 12:15,78,,,,
jennifer walters,2/24/2022 10:57,2/24/2022 12:24,87,,,,
namor mckenzie,2/24/2022 10:57,2/24/2022 12:15,78,,,,
jacques duquesne,2/24/2022 10:57,2/24/2022 12:17,80,,,,
vance astrovik,2/24/2022 10:57,2/24/2022 12:13,76,,,,
stakar,2/24/2022 10:57,2/24/2022 12:15,78,,,,
eros,2/24/2022 10:58,2/24/2022 12:15,78,,,,
steven rogers,2/24/2022 10:58,2/24/2022 11:03,6,,,,
kelsey leigh shorr,2/24/2022 10:58,2/24/2022 12:39,102,,,,
walter newell,2/24/2022 10:58,2/24/2022 12:15,78,,,,
jim hammond,2/24/2022 10:58,2/24/2022 12:15,78,,,,
charlie-27,2/24/2022 10:58,2/24/2022 12:15,77,,,,
ravonna lexus renslayer,2/24/2022 10:58,2/24/2022 11:07,9,,,,
miguel santos,2/24/2022 10:59,2/24/2022 12:14,76,,,,
marrina smallwood,2/24/2022 10:59,2/24/2022 12:15,77,,,,
martinex t'naga,2/24/2022 10:59,2/24/2022 12:15,77,,,,
maria de guadalupe santiago,2/24/2022 10:59,2/24/2022 12:15,77,,,,
demarr davis,2/24/2022 10:59,2/24/2022 11:22,24,,,,
val ventura,2/24/2022 10:59,2/24/2022 12:15,77,,,,
robert l. frank sr.,2/24/2022 10:59,2/24/2022 12:15,77,,,,
heather douglas,2/24/2022 10:59,2/24/2022 11:53,54,,,,
dane whitman,2/24/2022 10:59,2/24/2022 12:37,98,,,,
samuel thomas wilson,2/24/2022 10:59,2/24/2022 12:15,76,,,,
scott edward harris lang,2/24/2022 10:59,2/24/2022 12:15,76,,,,
clinton francis barton,2/24/2022 10:59,2/24/2022 12:15,76,,,,
wade wilson,2/24/2022 10:59,2/24/2022 12:15,76,,,,
nicholette gold,2/24/2022 11:00,2/24/2022 12:06,67,,,,
barbara barton,2/24/2022 11:00,2/24/2022 11:09,10,,,,
eric kevin masterson,2/24/2022 11:00,2/24/2022 11:01,1,,,,
reed richards,2/24/2022 11:00,2/24/2022 12:14,75,,,,
phillip javert,2/24/2022 11:00,2/24/2022 12:14,75,,,,
brandt,2/24/2022 11:00,2/24/2022 12:14,75,,,,
dennis dunphy,2/24/2022 11:00,2/24/2022 12:15,75,,,,
christopher powell,2/24/2022 11:00,2/24/2022 12:14,75,,,,
x-51,2/24/2022 11:00,2/24/2022 12:15,75,,,,
