User Name,Join time,Leave time,Duration(Minutes),Attentiveness Score
henry p. mccoy,1/27/2022 10:47,1/27/2022 11:43,57,
ashley crawford,1/27/2022 10:48,1/27/2022 12:43,115,
monica rambeau,1/27/2022 10:49,1/27/2022 12:22,94,
natalia alianovna romanova,1/27/2022 10:51,1/27/2022 12:14,83,
janet van dyne,1/27/2022 10:53,1/27/2022 12:17,85,
patsy walker,1/27/2022 10:55,1/27/2022 12:43,109,
matthew liebowitz,1/27/2022 10:55,1/27/2022 12:14,80,
angelica jones,1/27/2022 10:55,1/27/2022 12:15,81,
samuel thomas wilson,1/27/2022 10:56,1/27/2022 12:14,78,
jennifer walters,1/27/2022 10:56,1/27/2022 12:43,107,
christopher powell,1/27/2022 10:57,1/27/2022 12:13,77,
jim hammond,1/27/2022 10:57,1/27/2022 12:13,77,
stakar,1/27/2022 10:57,1/27/2022 12:15,78,
bonita juarez,1/27/2022 10:57,1/27/2022 11:51,55,
scott edward harris lang,1/27/2022 10:57,1/27/2022 12:15,78,
james r. rhodes,1/27/2022 10:57,1/27/2022 12:14,77,
x-51,1/27/2022 10:57,1/27/2022 12:14,77,
robert l. frank sr.,1/27/2022 10:58,1/27/2022 12:13,76,
benjamin jacob grimm,1/27/2022 10:58,1/27/2022 12:13,76,
ravonna lexus renslayer,1/27/2022 10:58,1/27/2022 12:14,76,
namor mckenzie,1/27/2022 10:58,1/27/2022 11:20,22,
clinton francis barton,1/27/2022 10:58,1/27/2022 12:13,76,
walter newell,1/27/2022 10:58,1/27/2022 12:14,76,
demarr davis,1/27/2022 10:58,1/27/2022 12:14,76,
thor odinson,1/27/2022 10:58,1/27/2022 12:18,80,
"anthony edward ""tony"" stark",1/27/2022 10:58,1/27/2022 12:14,76,
t'challa,1/27/2022 10:59,1/27/2022 12:14,75,
marrina smallwood,1/27/2022 10:59,1/27/2022 12:14,76,
carol susan jane danvers,1/27/2022 10:59,1/27/2022 12:14,75,
eros,1/27/2022 10:59,1/27/2022 12:13,75,
nicholette gold,1/27/2022 10:59,1/27/2022 12:13,75,
barbara barton,1/27/2022 10:59,1/27/2022 12:14,75,
robert bruce banner,1/27/2022 10:59,1/27/2022 12:43,104,
