User Name,Join time,Leave time,Duration(Minutes),Attentiveness Score
natalia alianovna romanova,3/10/2022 10:45,3/10/2022 12:18,94,
patsy walker,3/10/2022 10:47,3/10/2022 12:28,102,
benjamin jacob grimm,3/10/2022 10:50,3/10/2022 12:18,89,
henry p. mccoy,3/10/2022 10:50,3/10/2022 12:18,89,
kelsey leigh shorr,3/10/2022 10:52,3/10/2022 12:28,96,
eros,3/10/2022 10:53,3/10/2022 12:18,85,
robert l. frank sr.,3/10/2022 10:53,3/10/2022 12:18,85,
"anthony edward ""tony"" stark",3/10/2022 10:54,3/10/2022 10:54,1,
namor mckenzie,3/10/2022 10:54,3/10/2022 12:19,85,
monica rambeau,3/10/2022 10:54,3/10/2022 12:18,84,
"anthony edward ""tony"" stark",3/10/2022 10:54,3/10/2022 10:55,1,
matthew liebowitz,3/10/2022 10:55,3/10/2022 12:19,85,
stakar,3/10/2022 10:55,3/10/2022 12:19,85,
scott edward harris lang,3/10/2022 10:55,3/10/2022 12:20,85,
samuel thomas wilson,3/10/2022 10:56,3/10/2022 12:18,83,
charlie-27,3/10/2022 10:57,3/10/2022 12:19,83,
vance astrovik,3/10/2022 10:57,3/10/2022 12:04,68,
carl lucas,3/10/2022 10:57,3/10/2022 12:11,75,
jennifer walters,3/10/2022 10:57,3/10/2022 12:26,89,
heracles,3/10/2022 10:57,3/10/2022 12:19,82,
ravonna lexus renslayer,3/10/2022 10:58,3/10/2022 12:11,74,
walter newell,3/10/2022 10:58,3/10/2022 12:19,82,
martinex t'naga,3/10/2022 10:58,3/10/2022 12:19,81,
julia carpenter,3/10/2022 10:58,3/10/2022 11:18,20,
james r. rhodes,3/10/2022 10:59,3/10/2022 12:18,80,
barbara barton,3/10/2022 10:59,3/10/2022 12:19,81,
wade wilson,3/10/2022 10:59,3/10/2022 12:19,81,
marrina smallwood,3/10/2022 10:59,3/10/2022 12:19,81,
val ventura,3/10/2022 10:59,3/10/2022 12:18,80,
nicholette gold,3/10/2022 10:59,3/10/2022 12:08,70,
pietro maximoff,3/10/2022 10:59,3/10/2022 12:09,70,
vance astrovik,3/10/2022 10:59,3/10/2022 12:09,70,
susan richards,3/10/2022 10:59,3/10/2022 12:18,79,
heather douglas,3/10/2022 10:59,3/10/2022 12:19,81,
x-51,3/10/2022 10:59,3/10/2022 12:22,83,
jacques duquesne,3/10/2022 10:59,3/10/2022 12:19,80,
veranke,3/10/2022 11:00,3/10/2022 12:18,79,
thor odinson,3/10/2022 11:00,3/10/2022 12:19,80,
demarr davis,3/10/2022 11:00,3/10/2022 12:18,79,
eric kevin masterson,3/10/2022 11:01,3/10/2022 12:19,79,
miguel santos,3/10/2022 11:01,3/10/2022 12:10,70,
rita demara,3/10/2022 11:01,3/10/2022 11:58,58,
christopher powell,3/10/2022 11:01,3/10/2022 12:25,85,
"anthony edward ""tony"" stark",3/10/2022 11:01,3/10/2022 12:19,79,
richard milhouse jones,3/10/2022 11:01,3/10/2022 12:19,79,
jim hammond,3/10/2022 11:01,3/10/2022 12:13,73,
carol susan jane danvers,3/10/2022 11:01,3/10/2022 12:18,78,
doug taggert,3/10/2022 11:01,3/10/2022 12:02,61,
circe,3/10/2022 11:01,3/10/2022 12:19,78,
reed richards,3/10/2022 11:01,3/10/2022 12:17,76,
marc spector,3/10/2022 11:02,3/10/2022 12:16,75,
steven rogers,3/10/2022 11:02,3/10/2022 12:19,78,
john f. walker,3/10/2022 11:02,3/10/2022 12:08,67,
dane whitman,3/10/2022 11:02,3/10/2022 12:14,72,
robert bruce banner,3/10/2022 11:02,3/10/2022 12:19,77,
brandt,3/10/2022 11:03,3/10/2022 12:16,74,
greg willis,3/10/2022 11:03,3/10/2022 12:19,77,
greer grant nelson,3/10/2022 11:04,3/10/2022 12:14,71,
yondu udonta,3/10/2022 11:05,3/10/2022 12:19,75,
crystal amaquelin maximoff,3/10/2022 11:06,3/10/2022 11:11,6,
peter benjamin parker,3/10/2022 11:06,3/10/2022 12:04,59,
clinton francis barton,3/10/2022 11:06,3/10/2022 12:16,70,
dennis dunphy,3/10/2022 11:09,3/10/2022 11:09,1,
crystal amaquelin maximoff,3/10/2022 11:11,3/10/2022 12:19,69,
julia carpenter,3/10/2022 11:19,3/10/2022 12:19,61,
gene lorrene,3/10/2022 11:22,3/10/2022 12:19,57,
dane whitman,3/10/2022 12:15,3/10/2022 12:19,5,
