User_Name,1/25/2022,1/27/2022,2/1/2022,2/10/2022,2/15/2022,2/17/2022,2/22/2022,2/24/2022,2/8/2022,3/1/2022,3/10/2022,3/22/2022,3/3/2022,3/8/2022,Absences
"""giulietta nefaria""",69.0,69.0,,,74.0,74.0,,,,69.0,,73.0,,52.0,7
angelica jones,79.0,81.0,76.0,76.0,80.0,78.0,82.0,78.0,80.0,85.0,,79.0,74.0,83.0,1
"anthony edward ""tony"" stark",84.0,76.0,73.0,78.0,78.0,90.0,82.0,62.0,80.0,83.0,81.0,90.0,77.0,71.0,0
anthony edward stark,78.0,66.0,77.0,75.0,76.0,,81.0,70.0,74.0,77.0,,75.0,,88.0,3
anthony ludgate druid,,75.0,72.0,,77.0,,,73.0,,78.0,,75.0,72.0,78.0,6
ashley crawford,101.0,115.0,89.0,86.0,102.0,81.0,106.0,83.0,106.0,71.0,,5.0,49.0,54.0,1
barbara barton,78.0,75.0,72.0,74.0,82.0,76.0,77.0,10.0,80.0,79.0,81.0,76.0,74.0,80.0,0
benjamin jacob grimm,92.0,76.0,81.0,76.0,87.0,98.0,88.0,79.0,81.0,80.0,89.0,83.0,77.0,96.0,0
bonita juarez,79.0,78.0,73.0,76.0,80.0,,,79.0,86.0,78.0,,,75.0,79.0,4
brandt,76.0,73.0,73.0,73.0,68.0,73.0,16.0,75.0,70.0,76.0,74.0,75.0,68.0,78.0,0
carl lucas,76.0,75.0,78.0,73.0,80.0,76.0,80.0,69.0,76.0,75.0,75.0,77.0,78.0,80.0,0
carol susan jane danvers,46.0,75.0,81.0,76.0,90.0,72.0,80.0,72.0,79.0,81.0,78.0,79.0,65.0,,1
charlie-27,78.0,75.0,75.0,76.0,80.0,78.0,84.0,77.0,80.0,81.0,83.0,81.0,75.0,76.0,0
christopher powell,79.0,77.0,72.0,71.0,77.0,70.0,73.0,75.0,80.0,74.0,85.0,75.0,70.0,69.0,0
circe,77.0,73.0,74.0,76.0,77.0,77.0,76.0,74.0,74.0,15.0,78.0,76.0,72.0,75.0,0
clinton francis barton,,76.0,76.0,65.0,77.0,78.0,79.0,76.0,83.0,76.0,70.0,77.0,71.0,77.0,1
craig hollis,,74.0,73.0,75.0,78.0,74.0,77.0,72.0,23.0,78.0,,,44.0,79.0,3
crystal amaquelin maximoff,75.0,,70.0,76.0,74.0,73.0,77.0,70.0,75.0,65.0,75.0,7.0,68.0,,2
dane whitman,113.0,74.0,74.0,75.0,82.0,75.0,81.0,98.0,35.0,81.0,77.0,,,101.0,2
delroy garrett jr.,,,,,,,79.0,,,,,,,,13
demarr davis,76.0,76.0,72.0,64.0,78.0,74.0,77.0,60.0,,9.0,79.0,74.0,,71.0,2
dennis dunphy,76.0,74.0,72.0,74.0,79.0,74.0,77.0,75.0,79.0,78.0,1.0,76.0,71.0,80.0,0
dorreen green,,,3.0,,,,,,84.0,,,,69.0,79.0,10
doug taggert,79.0,30.0,73.0,,,,,,,62.0,61.0,,60.0,82.0,7
elvin haliday,,,,,,,,,,,,,,17.0,13
eric kevin masterson,56.0,73.0,74.0,74.0,151.0,77.0,76.0,75.0,83.0,79.0,79.0,64.0,7.0,72.0,0
eros,79.0,75.0,77.0,80.0,88.0,76.0,82.0,78.0,86.0,82.0,85.0,79.0,79.0,77.0,0
gene lorrene,67.0,65.0,76.0,72.0,83.0,73.0,,,75.0,10.0,57.0,80.0,,80.0,3
giulietta nefaria,,,72.0,,,,,,,,,,,,13
greer grant nelson,74.0,74.0,75.0,77.0,79.0,72.0,80.0,72.0,78.0,76.0,71.0,74.0,72.0,81.0,0
greg willis,78.0,75.0,74.0,74.0,70.0,71.0,73.0,70.0,81.0,77.0,77.0,75.0,73.0,73.0,0
heather douglas,78.0,75.0,72.0,75.0,79.0,76.0,23.0,54.0,80.0,79.0,81.0,77.0,72.0,65.0,0
"henry jonathan ""hank"" pym",76.0,65.0,71.0,68.0,76.0,58.0,76.0,66.0,72.0,75.0,,73.0,66.0,,2
henry p. mccoy,77.0,57.0,79.0,84.0,80.0,77.0,82.0,67.0,86.0,76.0,89.0,89.0,66.0,76.0,0
heracles,82.0,43.0,80.0,82.0,82.0,87.0,83.0,86.0,83.0,85.0,82.0,84.0,78.0,76.0,0
jacques duquesne,78.0,86.0,82.0,73.0,78.0,68.0,78.0,80.0,80.0,85.0,80.0,78.0,70.0,86.0,0
james r. rhodes,79.0,77.0,82.0,79.0,85.0,79.0,84.0,79.0,86.0,84.0,80.0,83.0,75.0,67.0,0
janet van dyne,82.0,85.0,82.0,73.0,81.0,,80.0,,83.0,84.0,,75.0,66.0,89.0,3
jennifer walters,106.0,107.0,94.0,90.0,101.0,95.0,102.0,87.0,108.0,95.0,89.0,83.0,100.0,68.0,0
jim hammond,75.0,77.0,80.0,77.0,80.0,75.0,78.0,78.0,79.0,80.0,73.0,88.0,71.0,77.0,0
jocasta,93.0,74.0,74.0,76.0,77.0,76.0,77.0,,80.0,77.0,,73.0,72.0,56.0,2
john f. walker,,,24.0,66.0,80.0,84.0,78.0,78.0,,80.0,67.0,75.0,72.0,85.0,3
jonathan hart,,,,,,,,,,,,,,106.0,13
julia carpenter,86.0,172.0,140.0,162.0,78.0,69.0,84.0,72.0,75.0,82.0,81.0,79.0,,87.0,1
kelsey leigh shorr,115.0,102.0,119.0,90.0,83.0,79.0,101.0,102.0,106.0,104.0,96.0,80.0,80.0,1.0,0
mar-vell,76.0,74.0,,,,,,,,,,,,,12
marc spector,76.0,72.0,71.0,74.0,77.0,75.0,77.0,75.0,78.0,77.0,75.0,75.0,71.0,81.0,0
maria de guadalupe santiago,87.0,75.0,79.0,94.0,88.0,88.0,85.0,77.0,79.0,85.0,,99.0,74.0,88.0,1
marrina smallwood,78.0,76.0,73.0,77.0,79.0,79.0,80.0,77.0,82.0,80.0,81.0,78.0,74.0,67.0,0
martinex t'naga,78.0,76.0,74.0,77.0,78.0,77.0,77.0,77.0,81.0,80.0,81.0,76.0,74.0,81.0,0
matthew liebowitz,82.0,80.0,76.0,59.0,82.0,81.0,82.0,78.0,85.0,84.0,85.0,82.0,3.0,81.0,0
